creator,date,id,nuc,title,trove_url,institution
"Barton, Edmund, Sir, 1849-1920",1827-1940,27034442,ANL,Papers of Sir Edmund Barton,https://trove.nla.gov.au/work/27034442,National Library of Australia.
"Barton, Edmund, Sir, 1849-1920",1827-1940,14890081,ANL,Papers of Sir Edmund Barton,https://trove.nla.gov.au/work/14890081,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1902,21003348,ANL,Correspondence between Edmund Barton and Captain Chuck,https://trove.nla.gov.au/work/21003348,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1905-1969,20843868,ANL,Material relating to Waltzing Matilda,https://trove.nla.gov.au/work/20843868,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1887-1947,21730412,ANL,"Letters, papers, bill",https://trove.nla.gov.au/work/21730412,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1897-1898,23733819,ANL,Letter and handbills relating to Australian federation,https://trove.nla.gov.au/work/23733819,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1901,24351962,ANL,Speech delivered by Barton at the opening of Federal Parliament in 1901,https://trove.nla.gov.au/work/24351962,National Library of Australia.
"Barton, G. B. (George Burnett), 1836-1901",1800-1899,24904338,ANL,Manuscripts,https://trove.nla.gov.au/work/24904338,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1896,34380059,ANL,"Letter : Sydney to Thos. Whitby, Blackheath",https://trove.nla.gov.au/work/34380059,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1901,34392819,ANL,Letters,https://trove.nla.gov.au/work/34392819,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1939,34444414,ANL,"Letter : Sydney, to Lawrence Henry Copping",https://trove.nla.gov.au/work/34444414,National Library of Australia.
"Hack, John Barton, 1805-1884",1820-1884,34692159,ANL,Family papers,https://trove.nla.gov.au/work/34692159,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1859-1896,34892978,ANL,Early Australian letters and booklet,https://trove.nla.gov.au/work/34892978,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1903,35097888,ANL,Letter : to Isaac Isaacs,https://trove.nla.gov.au/work/35097888,National Library of Australia.
"Barton, Edmund, Sir, 1849-1920",1902,6116810,ANL,"[Address, to welcome Sir Edmund Barton, Ottawa]",https://trove.nla.gov.au/work/6116810,National Library of Australia.
"Barton, Edmund, Sir, 1849-1920",1902,6148440,ANL,"[Document of congratulation from British Fair Traders and Advocates of Imperial Preferential Trade 1902, June]",https://trove.nla.gov.au/work/6148440,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1900-1915,6466365,ANL,There's another bloody horse fell down [by] A.B. Paterson,https://trove.nla.gov.au/work/6466365,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1915-1920,8651892,ANL,Letters,https://trove.nla.gov.au/work/8651892,National Library of Australia.
"Paterson, A. B. (Andrew Barton), 1864-1941",1896,8994780,ANL,Letter of A.B. Paterson,https://trove.nla.gov.au/work/8994780,National Library of Australia.
"Barton, Edmund, Sir, 1849-1920",,32034635,VSL,Papers,https://trove.nla.gov.au/work/32034635,State Library Victoria.
"Barton, Newton, 1870-1935",1894-1895,203843366,QSL,Newton Barton Diary,https://trove.nla.gov.au/work/203843366,State Library of Queensland.
"Paterson, A. B. (Andrew Barton), 1864-1941",1992,35083238,NSL,The man from ironbark / A.B. Paterson ; [calligraphy by Dave Wood],https://trove.nla.gov.au/work/35083238,State Library of NSW.
"Barton, G. B. (George Burnett), 1836-1901",1890,35932172,NSL,The life and speeches of William Charles Wentworth,https://trove.nla.gov.au/work/35932172,State Library of NSW.
"Brady, Alfred Barton, 1856-1932",1893,231806214,QU,"Drawings of the new Victoria Bridge, Brisbane",https://trove.nla.gov.au/work/231806214,The University of Queensland. University of Queensland Library.
"Barton, Edmund, Sir, 1849-1920",1901,36300223,QU,"Letter : Milson's Point, N.S.W. to A.S. Cowley",https://trove.nla.gov.au/work/36300223,The University of Queensland. University of Queensland Library.
