creator,date,id,nuc,title,trove_url,institution
"Kelly, F. S. (Frederick Septimus), 1881-1916",1893-1926,10201266,ANL,Music manuscripts,https://trove.nla.gov.au/work/10201266,National Library of Australia.
,1863-1925,10544890,ANL,Collection of promissory notes from remote areas of Australia,https://trove.nla.gov.au/work/10544890,National Library of Australia.
"Kruse, Johann Secundus, 1859-1927",1870-1927,14952244,ANL,Papers of Johann Kruse,https://trove.nla.gov.au/work/14952244,National Library of Australia.
"Freycinet, Rose Marie de, d. 1832",1802-1927,152218670,ANL,Documents relating to Louis and Rose de Freycinet,https://trove.nla.gov.au/work/152218670,National Library of Australia.
"Dickens, Charles, 1812-1870",1869,168122181,ANL,Cheque written by Charles Dickens,https://trove.nla.gov.au/work/168122181,National Library of Australia.
"Paton, John Gibson, 1824-1907",1858-1891,179335696,ANL,"Journal, research notes and correspondence from the New Hebrides",https://trove.nla.gov.au/work/179335696,National Library of Australia.
"Paton, Maggie Whitecross, 1841?-1905",1870-1943,179335711,ANL,Journals and correspondence from the New Hebrides,https://trove.nla.gov.au/work/179335711,National Library of Australia.
"Frazer, Charles Edward, 1880–1913",1910-1913,193288592,ANL,"Early Commonwealth currency, 1910-1913",https://trove.nla.gov.au/work/193288592,National Library of Australia.
"Norcock, John Henry, 1809-1854",1835-1837,20308332,ANL,Diary of John Henry Norcock,https://trove.nla.gov.au/work/20308332,National Library of Australia.
"Nobbs, George Hunn, 1799-1884",1845-1886,20850242,ANL,Pitcairn and Norfolk Island correspondence,https://trove.nla.gov.au/work/20850242,National Library of Australia.
"Eden, Morton Frederick, 1865-1948",1890-1996,20888178,ANL,Diaries of Morton Frederick Eden,https://trove.nla.gov.au/work/20888178,National Library of Australia.
"Archer, William Henry, 1825-1909",1847-1866,21080750,ANL,Letters of William Archer,https://trove.nla.gov.au/work/21080750,National Library of Australia.
"Gould, John, 1804-1881",1838-1884,21123716,ANL,Papers of John Gould,https://trove.nla.gov.au/work/21123716,National Library of Australia.
"Watson, Thomas Greenlees, 1859-1912",1901-1912,21123799,ANL,Papers of Thomas Greenlees Watson,https://trove.nla.gov.au/work/21123799,National Library of Australia.
"Wakefield, George, active 1853-1887",1853-1887,21154508,ANL,Papers of George Wakefield,https://trove.nla.gov.au/work/21154508,National Library of Australia.
"Petherick, Edward Augustus, 1847-1917",1756-1917,21205250,ANL,Papers of Edward Augustus Petherick,https://trove.nla.gov.au/work/21205250,National Library of Australia.
"Cook, Joseph, Sir, 1860-1947",1919-1927,21888272,ANL,Papers of Sir Joseph Cook,https://trove.nla.gov.au/work/21888272,National Library of Australia.
"Atkins, Richard, 1745-1820",1791-1810,22119334,ANL,Journal of Richard Atkins,https://trove.nla.gov.au/work/22119334,National Library of Australia.
"Fawkner, John Pascoe, 1792-1869",1810-1869,22469947,ANL,Sir John Ferguson collection of papers of John Fawkner,https://trove.nla.gov.au/work/22469947,National Library of Australia.
"Macpherson, Christina Rutherford, 1864-1936",1900-1986,22493150,ANL,"Papers relating to the song ""Waltzing Matilda""",https://trove.nla.gov.au/work/22493150,National Library of Australia.
"Henry, Alice, 1857-1943",1873-1943,22576237,ANL,Papers of Alice Henry,https://trove.nla.gov.au/work/22576237,National Library of Australia.
"Kingsford-Smith, Charles, 1897-1935",1917-1935,22587305,ANL,Papers of Sir Charles Kingsford-Smith,https://trove.nla.gov.au/work/22587305,National Library of Australia.
"Gullett, Henry, Sir, 1878-1940",1887-1961,22821978,ANL,Papers of Sir Henry and Lady Penelope Gullett,https://trove.nla.gov.au/work/22821978,National Library of Australia.
"Sandwich, John Montagu, Earl of, 1718-1792",1771-1784,23386022,ANL,Papers of John Montagu Sandwich,https://trove.nla.gov.au/work/23386022,National Library of Australia.
"Godber, Josiah, -1822",1817-1824,23399685,ANL,Letters of Josiah Godber,https://trove.nla.gov.au/work/23399685,National Library of Australia.
"Brisbane, Thomas, Sir, 1773-1860",1815-1858,23447253,ANL,Papers of Sir Thomas Brisbane,https://trove.nla.gov.au/work/23447253,National Library of Australia.
"Cook, James, 1728-1779",1762,23727236,ANL,Description of the sea coast of Nova Scotia,https://trove.nla.gov.au/work/23727236,National Library of Australia.
"Banks, Joseph, 1743-1820",1745-1923,27034363,ANL,Papers of Sir Joseph Banks,https://trove.nla.gov.au/work/27034363,National Library of Australia.
"Barton, Edmund, Sir, 1849-1920",1827-1940,27034442,ANL,Papers of Sir Edmund Barton,https://trove.nla.gov.au/work/27034442,National Library of Australia.
"Richardson, Henry Handel, 1870-1946",1896-1946,27067175,ANL,Papers and correspondence of Henry Handel Richardson,https://trove.nla.gov.au/work/27067175,National Library of Australia.
"Anstey, Frank, 1865-1940",1917-1919,27082353,ANL,Letters of Frank Anstey,https://trove.nla.gov.au/work/27082353,National Library of Australia.
"Melba, Nellie, Dame, 1861-1931",1908-1970,28898479,ANL,Papers of Dame Nellie Melba,https://trove.nla.gov.au/work/28898479,National Library of Australia.
"Baker, S. W. (Shirley Waldemar), 1836-1903",1849-1950,32894040,ANL,"Tongan papers, Shirley W. Baker and Beatrice Baker",https://trove.nla.gov.au/work/32894040,National Library of Australia.
"Paterson, Rose, 1844-1893",1873-1888,33082921,ANL,Letters of Rose Paterson,https://trove.nla.gov.au/work/33082921,National Library of Australia.
"Lang, John Dunmore, 1799-1878",1831-1885,34379943,ANL,Papers of John Dunmore Lang,https://trove.nla.gov.au/work/34379943,National Library of Australia.
"Gunn, Ronald Campbell, 1808-1881",1835-1868,34419136,ANL,Papers of Ronald Campbell Gunn,https://trove.nla.gov.au/work/34419136,National Library of Australia.
"Monash, John, Sir, 1865-1931",1876-1934,34438837,ANL,Papers of Sir John Monash,https://trove.nla.gov.au/work/34438837,National Library of Australia.
"Fullwood, A. Henry (Albert Henry), 1863-1930",1887-1930,34690479,ANL,Papers of A. Henry Fullwood,https://trove.nla.gov.au/work/34690479,National Library of Australia.
"Windeyer, Mary, Lady, approximately 1837-1912",1894-1926,34746992,ANL,Papers of Lady Mary Windeyer and Margaret Windeyer,https://trove.nla.gov.au/work/34746992,National Library of Australia.
"Glynn, P. McM. (Patrick McMahon), 1855-1931",1874-1931,34892942,ANL,Papers of Patrick McMahon Glynn,https://trove.nla.gov.au/work/34892942,National Library of Australia.
"Fullerton, Mary E. (Mary Eliza), 1868-1946",1920-1946,35144145,ANL,Papers of Mary E. Fullerton,https://trove.nla.gov.au/work/35144145,National Library of Australia.
"Raper, George, 1769-1796",1787-1794,35310081,ANL,Papers of George Raper,https://trove.nla.gov.au/work/35310081,National Library of Australia.
"Woodford, C. M., 1852-1927",1879-1927,35784050,ANL,Papers on the Solomon Islands and other Pacific Islands,https://trove.nla.gov.au/work/35784050,National Library of Australia.
"Bennett, George, 1804-1893",1873,35809704,ANL,Notes on Queensland / by George Bennett,https://trove.nla.gov.au/work/35809704,National Library of Australia.
"Cook, James, 1728-1779",1765,36577403,ANL,Note written by Captain James Cook while surveying Newfoundland,https://trove.nla.gov.au/work/36577403,National Library of Australia.
"Bent, Ellis, 1783-1815",1802-1841,37055810,ANL,Papers of Ellis Bent and Jeffery Hart Bent,https://trove.nla.gov.au/work/37055810,National Library of Australia.
"Rooney, Isaac, 1843-1931",1845-1915,37778706,ANL,Manuscript and printed material,https://trove.nla.gov.au/work/37778706,National Library of Australia.
"Robinson, Hector Ernest, 1900-1942",1928-1946,37962709,ANL,Letters from New Guinea to Constance Robinson (née Constance Hollowell Lewis) and associated papers,https://trove.nla.gov.au/work/37962709,National Library of Australia.
"Diercke, Carl, 1872-1915",1888-1985,38040216,ANL,"Correspondence relating to Tinputz (Woskawitz) Plantation, Bougainville",https://trove.nla.gov.au/work/38040216,National Library of Australia.
"Fisher, Andrew, 1862-1928",1900-1911,5902880,ANL,South African Government one pound note and letter from Prime Minister Andrew Fisher to the Honorable Charles McDonald dated September 6 1911,https://trove.nla.gov.au/work/5902880,National Library of Australia.
"Deakin, Alfred, 1856-1919",1804-1973,6695989,ANL,Papers of Alfred Deakin,https://trove.nla.gov.au/work/6695989,National Library of Australia.
"Martin, Alfred William, 1844-1928",1860-1869,80969141,ANL,Reminiscences of voyages in the Pacific Ocean,https://trove.nla.gov.au/work/80969141,National Library of Australia.
"Gordon, Samuel Deane, 1811-1882",1857-1873,8528972,ANL,Papers of Samuel Deane Gordon,https://trove.nla.gov.au/work/8528972,National Library of Australia.
"Bligh, William, 1754-1817",1789,9931823,ANL,Notebook and list of mutineers,https://trove.nla.gov.au/work/9931823,National Library of Australia.
"Cook, James, 1728-1779",1776-1926,9959706,ANL,Family papers of Captain James Cook,https://trove.nla.gov.au/work/9959706,National Library of Australia.
"Cook, James, 1728-1779",1768-1770,10351281,ANL,Log of H.M.S. Endeavour,https://trove.nla.gov.au/work/10351281,National Library of Australia.
"Banks, Joseph, Sir, 1743-1820",1793,10888615,ANL,Poem,https://trove.nla.gov.au/work/10888615,National Library of Australia.
