creator,date,id,nuc,title,trove_url,institution
,1892-1909,10918152,ANL,Federation - Australia,https://trove.nla.gov.au/work/10918152,National Library of Australia.
,1947,159853683,ANL,Communist influence in Teachers Federation,https://trove.nla.gov.au/work/159853683,National Library of Australia.
"Barton, Edmund Sir, 1849-1920",1897-1898,23733819,ANL,Letter and handbills relating to Australian federation,https://trove.nla.gov.au/work/23733819,National Library of Australia.
,1899,27029040,ANL,Synopsis of the Commonwealth Bill : approved by the South Australian Federation and draft Commonwealth Bill,https://trove.nla.gov.au/work/27029040,National Library of Australia.
,1890-1891,28833077,ANL,"The federation movement, and proceedings of the Federation Convention of 1891 : scrap book of newspaper cuttings",https://trove.nla.gov.au/work/28833077,National Library of Australia.
,1895-1901,28833285,ANL,The Australian federation movement from a South Australian perspective : mounted newspaper and magazine clippings,https://trove.nla.gov.au/work/28833285,National Library of Australia.
,1895-1901,5891330,ANL,The Australian federation movement from a South Australian perspective : mounted newspaper and magazine clippings,https://trove.nla.gov.au/work/5891330,National Library of Australia.
"Henry, John, 1834-1912",1899,6050113,ANL,[Comments of the honourable John Henry dealing with the proposed alterations of the draft constitution of the Federation of Australia],https://trove.nla.gov.au/work/6050113,National Library of Australia.
,1900,191699908,WLB,Records of Australian Federation of Friends of Museums WA (Inc.),https://trove.nla.gov.au/work/191699908,State Library of Western Australia.
,1928,200344170,QSL,Waterside Workers Federation Cutting Book,https://trove.nla.gov.au/work/200344170,State Library of Queensland.
,1898-1901,157372346,TSL,Federation League of Northern Tasmania NG2368 [Records],https://trove.nla.gov.au/work/157372346,Libraries Tasmania.
,1917,157373022,TSL,National Federation League - Derby Branch NG1404 [Records],https://trove.nla.gov.au/work/157373022,Libraries Tasmania.
,1901,197248968,VDU,Federation Day photograph album,https://trove.nla.gov.au/work/197248968,Deakin University. Deakin University Library.
,1902,206859905,VUMA,"FEDERATED WOOL AND BASIL WORKERS FEDERATION, VICTORIAN AND N.S.W. BRANCH",https://trove.nla.gov.au/work/206859905,The University of Melbourne. University of Melbourne Archives.
