creator,date,id,nuc,title,trove_url
"Kelly, F. S. (Frederick Septimus), 1881-1916",1893-1926,10201266,ANL,Music manuscripts,https://trove.nla.gov.au/work/10201266
,1863-1925,10544890,ANL,Collection of promissory notes from remote areas of Australia,https://trove.nla.gov.au/work/10544890
"Gugeri, Peter Anthony, 1845-1930",1863-1910,14022030,WLB,Gugeri family papers,https://trove.nla.gov.au/work/14022030
"Kruse, Johann Secundus, 1859-1927",1870-1927,14952244,ANL,Papers of Johann Kruse,https://trove.nla.gov.au/work/14952244
"Freycinet, Rose Marie de, d. 1832",1802-1927,152218670,ANL,Documents relating to Louis and Rose de Freycinet,https://trove.nla.gov.au/work/152218670
,1900,155014135,WLB,Walter family scrapbook,https://trove.nla.gov.au/work/155014135
,1900,155014136,WLB,"Roll of honour, 1914-18",https://trove.nla.gov.au/work/155014136
"Milner, John George, 1868-1943",1888-1916,155776598,WLB,John George Milner papers,https://trove.nla.gov.au/work/155776598
"Aher, Jeremiah, 1841-1926",1841-2010,159518245,WLB,Jeremiah Aher papers,https://trove.nla.gov.au/work/159518245
"Dickens, Charles, 1812-1870",1869,168122181,ANL,Cheque written by Charles Dickens,https://trove.nla.gov.au/work/168122181
"Winzar, Frank, 1860-1937",1870-2004,16827445,WLB,Frank and Ethel Mary Winzar papers,https://trove.nla.gov.au/work/16827445
"Lonsdale, William, 1799-1864",1836,176429437,VSL,Letters,https://trove.nla.gov.au/work/176429437
"Paton, John Gibson, 1824-1907",1858-1891,179335696,ANL,"Journal, research notes and correspondence from the New Hebrides",https://trove.nla.gov.au/work/179335696
"Paton, Maggie Whitecross, 1841?-1905",1870-1943,179335711,ANL,Journals and correspondence from the New Hebrides,https://trove.nla.gov.au/work/179335711
,1853,183666346,VSL,The 1853 Bendigo goldfields petition,https://trove.nla.gov.au/work/183666346
,1900,184317111,WLB,Ronald Hicks collection,https://trove.nla.gov.au/work/184317111
"Fry, John, 1879-1936",1900,185371866,WLB,Fry family papers,https://trove.nla.gov.au/work/185371866
"Hale, Mathew B. (Mathew Blagden), 1811-1895",1856,187774189,WLB,Diary of Bishop Mathew Blagden Hale,https://trove.nla.gov.au/work/187774189
"Hale, Mathew B. (Mathew Blagden), 1811-1895",1856-1857,187774190,WLB,Diary of Bishop Mathew Blagden Hale,https://trove.nla.gov.au/work/187774190
"Hale, Mathew B. (Mathew Blagden), 1811-1895",1861,187774191,WLB,Diary of Bishop Mathew Blagden Hale,https://trove.nla.gov.au/work/187774191
